"DXCC","PROVINCE CODE","PROVINCE NAME","DME NUMBER","DME NAME"
"281","VI","Araba/Álava"," 01001","Alegría-Dulantzi"
"281","VI","Araba/Álava"," 01002","Amurrio"
"281","VI","Araba/Álava"," 01003","Aramaio"
"281","VI","Araba/Álava"," 01004","Artziniega"
"281","VI","Araba/Álava"," 01006","Armiñón"
"281","VI","Araba/Álava"," 01008","Arratzua-Ubarrundia"
"281","VI","Araba/Álava"," 01009","Asparrena"
"281","VI","Araba/Álava"," 01010","Ayala/Aiara"
"281","VI","Araba/Álava"," 01011","Baños de Ebro/Mañueta"
"281","VI","Araba/Álava"," 01013","Barrundia"
"281","VI","Araba/Álava"," 01014","Berantevilla"
"281","VI","Araba/Álava"," 01016","Bernedo"
"281","VI","Araba/Álava"," 01017","Campezo/Kanpezu"
"281","VI","Araba/Álava"," 01018","Zigoitia"
"281","VI","Araba/Álava"," 01019","Kripan"
"281","VI","Araba/Álava"," 01020","Kuartango"
"281","VI","Araba/Álava"," 01021","Elburgo/Burgelu"
"281","VI","Araba/Álava"," 01022","Elciego"
"281","VI","Araba/Álava"," 01023","Elvillar/Bilar"
"281","VI","Araba/Álava"," 01027","Iruraiz-Gauna"
"281","VI","Araba/Álava"," 01028","Labastida/Bastida"
"281","VI","Araba/Álava"," 01030","Lagrán"
"281","VI","Araba/Álava"," 01031","Laguardia"
"281","VI","Araba/Álava"," 01032","Lanciego/Lantziego"
"281","VI","Araba/Álava"," 01033","Lapuebla de Labarca"
"281","VI","Araba/Álava"," 01034","Leza"
"281","VI","Araba/Álava"," 01036","Laudio/Llodio"
"281","VI","Araba/Álava"," 01037","Arraia-Maeztu"
"281","VI","Araba/Álava"," 01039","Moreda de Álava/Moreda Araba"
"281","VI","Araba/Álava"," 01041","Navaridas"
"281","VI","Araba/Álava"," 01042","Okondo"
"281","VI","Araba/Álava"," 01043","Oyón-Oion"
"281","VI","Araba/Álava"," 01044","Peñacerrada-Urizaharra"
"281","VI","Araba/Álava"," 01046","Ribera Alta"
"281","VI","Araba/Álava"," 01047","Ribera Baja/Erriberabeitia"
"281","VI","Araba/Álava"," 01049","Añana"
"281","VI","Araba/Álava"," 01051","Agurain/Salvatierra"
"281","VI","Araba/Álava"," 01052","Samaniego"
"281","VI","Araba/Álava"," 01053","San Millán/Donemiliaga"
"281","VI","Araba/Álava"," 01054","Urkabustaiz"
"281","VI","Araba/Álava"," 01055","Valdegovía/Gaubea"
"281","VI","Araba/Álava"," 01056","Harana/Valle de Arana"
"281","VI","Araba/Álava"," 01057","Villabuena de Álava/Eskuernaga"
"281","VI","Araba/Álava"," 01058","Legutio"
"281","VI","Araba/Álava"," 01059","Vitoria-Gasteiz"
"281","VI","Araba/Álava"," 01060","Yécora/Iekora"
"281","VI","Araba/Álava"," 01061","Zalduondo"
"281","VI","Araba/Álava"," 01062","Zambrana"
"281","VI","Araba/Álava"," 01063","Zuia"
"281","VI","Araba/Álava"," 01901","Iruña Oka/Iruña de Oca"
"281","VI","Araba/Álava"," 01902","Lantarón"
"281","AB","Albacete"," 02001","Abengibre"
"281","AB","Albacete"," 02002","Alatoz"
"281","AB","Albacete"," 02003","Albacete"
"281","AB","Albacete"," 02004","Albatana"
"281","AB","Albacete"," 02005","Alborea"
"281","AB","Albacete"," 02006","Alcadozo"
"281","AB","Albacete"," 02007","Alcalá del Júcar"
"281","AB","Albacete"," 02008","Alcaraz"
"281","AB","Albacete"," 02009","Almansa"
"281","AB","Albacete"," 02010","Alpera"
"281","AB","Albacete"," 02011","Ayna"
"281","AB","Albacete"," 02012","Balazote"
"281","AB","Albacete"," 02013","Balsa de Ves"
"281","AB","Albacete"," 02014","Ballestero (El)"
"281","AB","Albacete"," 02015","Barrax"
"281","AB","Albacete"," 02016","Bienservida"
"281","AB","Albacete"," 02017","Bogarra"
"281","AB","Albacete"," 02018","Bonete"
"281","AB","Albacete"," 02019","Bonillo (El)"
"281","AB","Albacete"," 02020","Carcelén"
"281","AB","Albacete"," 02021","Casas de Juan Núñez"
"281","AB","Albacete"," 02022","Casas de Lázaro"
"281","AB","Albacete"," 02023","Casas de Ves"
"281","AB","Albacete"," 02024","Casas-Ibáñez"
"281","AB","Albacete"," 02025","Caudete"
"281","AB","Albacete"," 02026","Cenizate"
"281","AB","Albacete"," 02027","Corral-Rubio"
"281","AB","Albacete"," 02028","Cotillas"
"281","AB","Albacete"," 02029","Chinchilla de Monte-Aragón"
"281","AB","Albacete"," 02030","Elche de la Sierra"
"281","AB","Albacete"," 02031","Férez"
"281","AB","Albacete"," 02032","Fuensanta"
"281","AB","Albacete"," 02033","Fuente-Álamo"
"281","AB","Albacete"," 02034","Fuentealbilla"
"281","AB","Albacete"," 02035","Gineta (La)"
"281","AB","Albacete"," 02036","Golosalvo"
"281","AB","Albacete"," 02037","Hellín"
"281","AB","Albacete"," 02038","Herrera (La)"
"281","AB","Albacete"," 02039","Higueruela"
"281","AB","Albacete"," 02040","Hoya-Gonzalo"
"281","AB","Albacete"," 02041","Jorquera"
"281","AB","Albacete"," 02042","Letur"
"281","AB","Albacete"," 02043","Lezuza"
"281","AB","Albacete"," 02044","Liétor"
"281","AB","Albacete"," 02045","Madrigueras"
"281","AB","Albacete"," 02046","Mahora"
"281","AB","Albacete"," 02047","Masegoso"
"281","AB","Albacete"," 02048","Minaya"
"281","AB","Albacete"," 02049","Molinicos"
"281","AB","Albacete"," 02050","Montalvos"
"281","AB","Albacete"," 02051","Montealegre del Castillo"
"281","AB","Albacete"," 02052","Motilleja"
"281","AB","Albacete"," 02053","Munera"
"281","AB","Albacete"," 02054","Navas de Jorquera"
"281","AB","Albacete"," 02055","Nerpio"
"281","AB","Albacete"," 02056","Ontur"
"281","AB","Albacete"," 02057","Ossa de Montiel"
"281","AB","Albacete"," 02058","Paterna del Madera"
"281","AB","Albacete"," 02059","Peñascosa"
"281","AB","Albacete"," 02060","Peñas de San Pedro"
"281","AB","Albacete"," 02061","Pétrola"
"281","AB","Albacete"," 02062","Povedilla"
"281","AB","Albacete"," 02063","Pozohondo"
"281","AB","Albacete"," 02064","Pozo-Lorente"
"281","AB","Albacete"," 02065","Pozuelo"
"281","AB","Albacete"," 02066","Recueja (La)"
"281","AB","Albacete"," 02067","Riópar"
"281","AB","Albacete"," 02068","Robledo"
"281","AB","Albacete"," 02069","Roda (La)"
"281","AB","Albacete"," 02070","Salobre"
"281","AB","Albacete"," 02071","San Pedro"
"281","AB","Albacete"," 02072","Socovos"
"281","AB","Albacete"," 02073","Tarazona de la Mancha"
"281","AB","Albacete"," 02074","Tobarra"
"281","AB","Albacete"," 02075","Valdeganga"
"281","AB","Albacete"," 02076","Vianos"
"281","AB","Albacete"," 02077","Villa de Ves"
"281","AB","Albacete"," 02078","Villalgordo del Júcar"
"281","AB","Albacete"," 02079","Villamalea"
"281","AB","Albacete"," 02080","Villapalacios"
"281","AB","Albacete"," 02081","Villarrobledo"
"281","AB","Albacete"," 02082","Villatoya"
"281","AB","Albacete"," 02083","Villavaliente"
"281","AB","Albacete"," 02084","Villaverde de Guadalimar"
"281","AB","Albacete"," 02085","Viveros"
"281","AB","Albacete"," 02086","Yeste"
"281","AB","Albacete"," 02901","Pozo Cañada"
"281","A","Alicante"," 03001","Atzúbia, l'"
"281","A","Alicante"," 03002","Agost"
"281","A","Alicante"," 03003","Agres"
"281","A","Alicante"," 03004","Aigües"
"281","A","Alicante"," 03005","Albatera"
"281","A","Alicante"," 03006","Alcalalí"
"281","A","Alicante"," 03007","Alcosser"
"281","A","Alicante"," 03008","Alcoleja"
"281","A","Alicante"," 03009","Alcoi/Alcoy"
"281","A","Alicante"," 03010","Alfafara"
"281","A","Alicante"," 03011","Alfàs del Pi (l')"
"281","A","Alicante"," 03012","Algorfa"
"281","A","Alicante"," 03013","Algueña"
"281","A","Alicante"," 03014","Alacant/Alicante"
"281","A","Alicante"," 03015","Almoradí"
"281","A","Alicante"," 03016","Almudaina"
"281","A","Alicante"," 03017","Alqueria d'Asnar (l')"
"281","A","Alicante"," 03018","Altea"
"281","A","Alicante"," 03019","Aspe"
"281","A","Alicante"," 03020","Balones"
"281","A","Alicante"," 03021","Banyeres de Mariola"
"281","A","Alicante"," 03022","Benasau"
"281","A","Alicante"," 03023","Beneixama"
"281","A","Alicante"," 03024","Benejúzar"
"281","A","Alicante"," 03025","Benferri"
"281","A","Alicante"," 03026","Beniarbeig"
"281","A","Alicante"," 03027","Beniardà"
"281","A","Alicante"," 03028","Beniarrés"
"281","A","Alicante"," 03029","Benigembla"
"281","A","Alicante"," 03030","Benidoleig"
"281","A","Alicante"," 03031","Benidorm"
"281","A","Alicante"," 03032","Benifallim"
"281","A","Alicante"," 03033","Benifato"
"281","A","Alicante"," 03034","Benijófar"
"281","A","Alicante"," 03035","Benilloba"
"281","A","Alicante"," 03036","Benillup"
"281","A","Alicante"," 03037","Benimantell"
"281","A","Alicante"," 03038","Benimarfull"
"281","A","Alicante"," 03039","Benimassot"
"281","A","Alicante"," 03040","Benimeli"
"281","A","Alicante"," 03041","Benissa"
"281","A","Alicante"," 03042","Poble Nou de Benitatxell, el/Benitachell"
"281","A","Alicante"," 03043","Biar"
"281","A","Alicante"," 03044","Bigastro"
"281","A","Alicante"," 03045","Bolulla"
"281","A","Alicante"," 03046","Busot"
"281","A","Alicante"," 03047","Calp"
"281","A","Alicante"," 03048","Callosa d'en Sarrià"
"281","A","Alicante"," 03049","Callosa de Segura"
"281","A","Alicante"," 03050","Campello (el)"
"281","A","Alicante"," 03051","Camp de Mirra, el/Campo de Mirra"
"281","A","Alicante"," 03052","Cañada"
"281","A","Alicante"," 03053","Castalla"
"281","A","Alicante"," 03054","Castell de Castells"
"281","A","Alicante"," 03055","Catral"
"281","A","Alicante"," 03056","Cocentaina"
"281","A","Alicante"," 03057","Confrides"
"281","A","Alicante"," 03058","Cox"
"281","A","Alicante"," 03059","Crevillent"
"281","A","Alicante"," 03060","Quatretondeta"
"281","A","Alicante"," 03061","Daya Nueva"
"281","A","Alicante"," 03062","Daya Vieja"
"281","A","Alicante"," 03063","Dénia"
"281","A","Alicante"," 03064","Dolores"
"281","A","Alicante"," 03065","Elx/Elche"
"281","A","Alicante"," 03066","Elda"
"281","A","Alicante"," 03067","Fageca"
"281","A","Alicante"," 03068","Famorca"
"281","A","Alicante"," 03069","Finestrat"
"281","A","Alicante"," 03070","Formentera del Segura"
"281","A","Alicante"," 03071","Gata de Gorgos"
"281","A","Alicante"," 03072","Gaianes"
"281","A","Alicante"," 03073","Gorga"
"281","A","Alicante"," 03074","Granja de Rocamora"
"281","A","Alicante"," 03075","Castell de Guadalest (el)"
"281","A","Alicante"," 03076","Guardamar del Segura"
"281","A","Alicante"," 03077","Fondó de les Neus (el)/Hondón de las Nieves"
"281","A","Alicante"," 03078","Hondón de los Frailes"
"281","A","Alicante"," 03079","Ibi"
"281","A","Alicante"," 03080","Jacarilla"
"281","A","Alicante"," 03081","Xaló"
"281","A","Alicante"," 03082","Xàbia/Jávea"
"281","A","Alicante"," 03083","Xixona/Jijona"
"281","A","Alicante"," 03084","Orxa, l'/Lorcha"
"281","A","Alicante"," 03085","Llíber"
"281","A","Alicante"," 03086","Millena"
"281","A","Alicante"," 03088","Monforte del Cid"
"281","A","Alicante"," 03089","Monòver/Monóvar"
"281","A","Alicante"," 03090","Mutxamel"
"281","A","Alicante"," 03091","Murla"
"281","A","Alicante"," 03092","Muro de Alcoy"
"281","A","Alicante"," 03093","Novelda"
"281","A","Alicante"," 03094","Nucia (la)"
"281","A","Alicante"," 03095","Ondara"
"281","A","Alicante"," 03096","Onil"
"281","A","Alicante"," 03097","Orba"
"281","A","Alicante"," 03098","Orxeta"
"281","A","Alicante"," 03099","Orihuela"
"281","A","Alicante"," 03100","Parcent"
"281","A","Alicante"," 03101","Pedreguer"
"281","A","Alicante"," 03102","Pego"
"281","A","Alicante"," 03103","Penàguila"
"281","A","Alicante"," 03104","Petrer"
"281","A","Alicante"," 03105","Pinós (el)/Pinoso"
"281","A","Alicante"," 03106","Planes"
"281","A","Alicante"," 03107","Polop"
"281","A","Alicante"," 03109","Rafal"
"281","A","Alicante"," 03110","Ràfol d'Almúnia (El)"
"281","A","Alicante"," 03111","Redován"
"281","A","Alicante"," 03112","Relleu"
"281","A","Alicante"," 03113","Rojales"
"281","A","Alicante"," 03114","Romana (la)"
"281","A","Alicante"," 03115","Sagra"
"281","A","Alicante"," 03116","Salinas"
"281","A","Alicante"," 03117","Sanet y Negrals"
"281","A","Alicante"," 03118","San Fulgencio"
"281","A","Alicante"," 03119","Sant Joan d'Alacant"
"281","A","Alicante"," 03120","San Miguel de Salinas"
"281","A","Alicante"," 03121","Santa Pola"
"281","A","Alicante"," 03122","Sant Vicent del Raspeig/San Vicente del Raspeig"
"281","A","Alicante"," 03123","Sax"
"281","A","Alicante"," 03124","Sella"
"281","A","Alicante"," 03125","Senija"
"281","A","Alicante"," 03127","Tàrbena"
"281","A","Alicante"," 03128","Teulada"
"281","A","Alicante"," 03129","Tibi"
"281","A","Alicante"," 03130","Tollos"
"281","A","Alicante"," 03131","Tormos"
"281","A","Alicante"," 03132","Torre de les Maçanes, la/Torremanzanas"
"281","A","Alicante"," 03133","Torrevieja"
"281","A","Alicante"," 03134","Vall d'Alcalà (la)"
"281","A","Alicante"," 03135","Vall d'Ebo (la)"
"281","A","Alicante"," 03136","Vall de Gallinera, la"
"281","A","Alicante"," 03137","Vall de Laguar (la)"
"281","A","Alicante"," 03138","Verger (el)"
"281","A","Alicante"," 03139","Vila Joiosa, la/Villajoyosa"
"281","A","Alicante"," 03140","Villena"
"281","A","Alicante"," 03901","Poblets (els)"
"281","A","Alicante"," 03902","Pilar de la Horadada"
"281","A","Alicante"," 03903","Montesinos (Los)"
"281","A","Alicante"," 03904","San Isidro"
"281","AL","Almería"," 04001","Abla"
"281","AL","Almería"," 04002","Abrucena"
"281","AL","Almería"," 04003","Adra"
"281","AL","Almería"," 04004","Albanchez"
"281","AL","Almería"," 04005","Alboloduy"
"281","AL","Almería"," 04006","Albox"
"281","AL","Almería"," 04007","Alcolea"
"281","AL","Almería"," 04008","Alcóntar"
"281","AL","Almería"," 04009","Alcudia de Monteagud"
"281","AL","Almería"," 04010","Alhabia"
"281","AL","Almería"," 04011","Alhama de Almería"
"281","AL","Almería"," 04012","Alicún"
"281","AL","Almería"," 04013","Almería"
"281","AL","Almería"," 04014","Almócita"
"281","AL","Almería"," 04015","Alsodux"
"281","AL","Almería"," 04016","Antas"
"281","AL","Almería"," 04017","Arboleas"
"281","AL","Almería"," 04018","Armuña de Almanzora"
"281","AL","Almería"," 04019","Bacares"
"281","AL","Almería"," 04020","Bayárcal"
"281","AL","Almería"," 04021","Bayarque"
"281","AL","Almería"," 04022","Bédar"
"281","AL","Almería"," 04023","Beires"
"281","AL","Almería"," 04024","Benahadux"
"281","AL","Almería"," 04026","Benitagla"
"281","AL","Almería"," 04027","Benizalón"
"281","AL","Almería"," 04028","Bentarique"
"281","AL","Almería"," 04029","Berja"
"281","AL","Almería"," 04030","Canjáyar"
"281","AL","Almería"," 04031","Cantoria"
"281","AL","Almería"," 04032","Carboneras"
